n_Li,П‡вЃ»,П‡вЃє(excl LiвЃє),rвЃє(excl LiвЃє) (pm),rвЃ» (pm),nв‚•в‚’в‚›в‚њ cв‚ђв‚њбµўв‚’в‚™,ПЃвЃє(excl LiвЃє) (C mвЃ»Ві),О¦вЃє(excl LiвЃє) (|Z| pmвЃ»В№)
0.4615384615384615,2.651666666666667,2.19,17.0,185.375,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.668333333333333,2.19,17.0,184.125,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.6308333333333334,2.19,17.0,187.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.605833333333333,2.19,17.0,189.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4625719769673704,2.643333333333333,2.18275,17.4,186.0,0.0767754318618042,38055546429896.29,0.2897950089126559
0.4636015325670498,2.643333333333333,2.1755,17.799999999999997,186.0,0.0766283524904214,37188914124821.625,0.2854723707664884
0.4646271510516253,2.643333333333333,2.16825,18.200000000000003,186.0,0.0764818355640535,36322281819746.97,0.2811497326203209
0.4666666666666667,2.643333333333333,2.15375,19.0,186.0,0.0761904761904762,34589017209597.65,0.2725044563279857
0.4706994328922495,2.643333333333333,2.12475,20.6,186.0,0.0756143667296786,31122487989299.016,0.2552139037433155
0.4756554307116105,2.643333333333333,2.0885,22.6,186.0,0.0749063670411985,26789326463925.72,0.2336007130124777
0.4814814814814814,2.643333333333333,2.045,25.0,186.0,0.074074074074074,21589532633477.76,0.2076648841354723
0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.642833333333334,2.19,17.0,186.2333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.642333333333333,2.19,17.0,186.46666666666667,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.641833333333334,2.19,17.0,186.7,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.6413333333333333,2.19,17.0,186.9333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.6398333333333333,2.19,17.0,187.63333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.467680608365019,2.5933333333333333,2.163,21.35,190.0,0.0760456273764258,33319601901044.336,0.2630434782608695
0.4852941176470588,2.5933333333333333,2.082,34.4,190.0,0.0735294117647058,16511871399264.514,0.1698209718670076
0.4890510948905109,2.5933333333333333,2.064,37.3,190.0,0.072992700729927,12776820176646.771,0.1491048593350383
0.4927536231884057,2.5933333333333333,2.046,40.2,190.0,0.072463768115942,9041768954029.035,0.128388746803069
0.4615384615384615,2.66,2.19,17.0,184.75,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4638783269961977,2.643333333333333,2.162380952380952,18.52380952380952,186.0,0.0798479087452471,35620722334686.53,0.2776504541210424
0.4716981132075472,2.643333333333333,2.1175,21.0,186.0,0.0754716981132075,30255855684224.355,0.2508912655971479
0.3043478260869565,2.58,2.055,38.75,184.0,0.1739130434782608,10909294565337.906,0.1387468030690537
0.4615384615384615,2.640833333333333,2.19,17.0,187.16666666666663,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.638833333333333,2.19,17.0,188.1,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4615384615384615,2.6383333333333336,2.19,17.0,188.3333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235
0.4776119402985074,2.5933333333333333,2.118,28.6,190.0,0.0746268656716417,23981973844499.99,0.2112531969309463
0.4814814814814814,2.5933333333333333,2.1,31.5,190.0,0.074074074074074,20246922621882.25,0.1905370843989769
0.25,2.3266666666666667,2.09,9.666666666666666,154.66666666666666,0.15,367093807957790.8,0.4313725490196078
0.0555555555555555,2.273846153846154,1.81,33.704166666666666,143.15384615384616,0.2222222222222222,398402710637739.5,0.3814203167356256
